,2021 National Employment Matrix title,2021 National Employment Matrix code,Occupation type,"Employment, 2021","Employment, 2031","Employment distribution, percent, 2021","Employment distribution, percent, 2031","Employment change, 2021–31","Percent employment change, 2021–31","Occupational openings, 2021–31 annual average"
67,"Meeting, convention, and event planners",13-1121,Line item,128.2,151.1,0.1,0.1,22.9,17.8,16.6
68,Fundraisers,13-1131,Line item,105.8,117.6,0.1,0.1,11.8,11.2,11.4
69,"Compensation, benefits, and job analysis specialists",13-1141,Line item,100.6,107.2,0.1,0.1,6.6,6.6,9.3
70,Training and development specialists,13-1151,Line item,354.8,383.7,0.2,0.2,28.9,8.1,36.5
71,Market research analysts and marketing specialists,13-1161,Line item,792.5,942.8,0.5,0.6,150.3,19.0,99.8
72,"Business operations specialists, all other",13-1199,Line item,1133.0,1190.0,0.7,0.7,57.0,5.0,114.2
74,Accountants and auditors,13-2011,Line item,1449.8,1531.6,0.9,0.9,81.8,5.6,136.4
75,Property appraisers and assessors,13-2020,Line item,76.1,79.2,0.0,0.0,3.1,4.0,6.8
76,Budget analysts,13-2031,Line item,50.4,51.8,0.0,0.0,1.4,2.8,4.0
77,Credit analysts,13-2041,Line item,69.9,68.2,0.0,0.0,-1.8,-2.5,5.4
79,Financial and investment analysts,13-2051,Line item,317.3,344.6,0.2,0.2,27.3,8.6,26.9
80,Personal financial advisors,13-2052,Line item,330.3,381.2,0.2,0.2,50.9,15.4,30.5
81,Insurance underwriters,13-2053,Line item,123.3,117.8,0.1,0.1,-5.5,-4.5,8.4
82,Financial risk specialists,13-2054,Line item,56.5,61.1,0.0,0.0,4.6,8.1,5.1
83,Financial examiners,13-2061,Line item,62.8,76.0,0.0,0.0,13.2,21.0,6.8
85,Credit counselors,13-2071,Line item,35.3,38.5,0.0,0.0,3.3,9.3,3.2
86,Loan officers,13-2072,Line item,354.6,367.1,0.2,0.2,12.6,3.5,29.4
88,"Tax examiners and collectors, and revenue agents",13-2081,Line item,55.3,51.6,0.0,0.0,-3.7,-6.7,4.3
89,Tax preparers,13-2082,Line item,107.9,112.1,0.1,0.1,4.3,3.9,13.0
90,"Financial specialists, all other",13-2099,Line item,131.1,138.7,0.1,0.1,7.6,5.8,11.4
94,Computer systems analysts,15-1211,Line item,538.8,589.7,0.3,0.4,50.9,9.4,44.5
95,Information security analysts,15-1212,Line item,163.0,219.5,0.1,0.1,56.5,34.7,19.5
96,Computer and information research scientists,15-1221,Line item,33.5,40.6,0.0,0.0,7.1,21.3,3.3
98,Computer network support specialists,15-1231,Line item,185.5,199.2,0.1,0.1,13.8,7.4,16.1
99,Computer user support specialists,15-1232,Line item,690.2,732.9,0.4,0.4,42.7,6.2,58.9
101,Computer network architects,15-1241,Line item,174.8,182.3,0.1,0.1,7.5,4.3,11.8
102,Database administrators,15-1242,Line item,91.8,99.2,0.1,0.1,7.4,8.1,7.2
103,Database architects,15-1243,Line item,52.7,58.1,0.0,0.0,5.4,10.3,4.3
104,Network and computer systems administrators,15-1244,Line item,333.2,344.5,0.2,0.2,11.3,3.4,23.9
106,Computer programmers,15-1251,Line item,174.4,156.6,0.1,0.1,-17.8,-10.2,9.6
107,Software developers,15-1252,Line item,1425.9,1796.5,0.9,1.1,370.6,26.0,143.4
108,Software quality assurance analysts and testers,15-1253,Line item,196.3,237.1,0.1,0.1,40.8,20.8,19.5
109,Web developers,15-1254,Line item,95.3,124.1,0.1,0.1,28.9,30.3,11.0
110,Web and digital interface designers,15-1255,Line item,101.8,118.4,0.1,0.1,16.6,16.3,10.8
111,"Computer occupations, all other",15-1299,Line item,408.2,449.2,0.3,0.3,41.1,10.1,34.7
113,Actuaries,15-2011,Line item,28.3,34.2,0.0,0.0,5.9,20.8,2.4
114,Mathematicians,15-2021,Line item,2.0,2.0,0.0,0.0,0.0,-0.1,0.1
115,Operations research analysts,15-2031,Line item,104.2,128.3,0.1,0.1,24.2,23.2,10.3
116,Statisticians,15-2041,Line item,34.2,45.3,0.0,0.0,11.2,32.7,3.9
117,Data scientists,15-2051,Line item,113.3,153.9,0.1,0.1,40.5,35.8,13.5
118,"Mathematical science occupations, all other",15-2099,Line item,4.4,4.6,0.0,0.0,0.3,6.6,0.3
122,"Architects, except landscape and naval",17-1011,Line item,125.5,128.9,0.1,0.1,3.3,2.7,9.1
123,Landscape architects,17-1012,Line item,19.8,19.7,0.0,0.0,0.0,-0.1,1.5
125,Cartographers and photogrammetrists,17-1021,Line item,13.4,13.7,0.0,0.0,0.3,2.6,1.0
126,Surveyors,17-1022,Line item,50.0,50.4,0.0,0.0,0.4,0.9,3.8
128,Aerospace engineers,17-2011,Line item,58.8,62.4,0.0,0.0,3.7,6.3,3.8
129,Agricultural engineers,17-2021,Line item,1.2,1.2,0.0,0.0,0.0,1.5,0.1
130,Bioengineers and biomedical engineers,17-2031,Line item,17.9,19.7,0.0,0.0,1.7,9.8,1.2
131,Chemical engineers,17-2041,Line item,26.9,30.7,0.0,0.0,3.7,13.9,2.0
132,Civil engineers,17-2051,Line item,318.3,340.4,0.2,0.2,22.1,6.9,24.2
133,Computer hardware engineers,17-2061,Line item,76.9,80.6,0.0,0.0,3.7,4.8,5.3
135,Electrical engineers,17-2071,Line item,192.4,195.5,0.1,0.1,3.1,1.6,12.3
136,"Electronics engineers, except computer",17-2072,Line item,111.4,118.0,0.1,0.1,6.7,6.0,7.8
137,Environmental engineers,17-2081,Line item,44.0,45.8,0.0,0.0,1.8,4.2,3.4
139,"Health and safety engineers, except mining safety engineers and inspectors",17-2111,Line item,23.6,24.4,0.0,0.0,0.8,3.5,1.5
140,Industrial engineers,17-2112,Line item,301.0,331.6,0.2,0.2,30.6,10.2,22.4
141,Marine engineers and naval architects,17-2121,Line item,7.6,7.9,0.0,0.0,0.3,4.4,0.4
142,Materials engineers,17-2131,Line item,22.1,23.4,0.0,0.0,1.3,6.1,1.7
143,Mechanical engineers,17-2141,Line item,284.9,291.3,0.2,0.2,6.4,2.2,17.9
144,"Mining and geological engineers, including mining safety engineers",17-2151,Line item,7.5,7.7,0.0,0.0,0.1,1.9,0.5
145,Nuclear engineers,17-2161,Line item,13.9,12.4,0.0,0.0,-1.5,-11.1,0.7
146,Petroleum engineers,17-2171,Line item,22.8,24.6,0.0,0.0,1.9,8.3,1.7
147,"Engineers, all other",17-2199,Line item,168.6,168.6,0.1,0.1,0.0,0.0,10.8
150,Architectural and civil drafters,17-3011,Line item,105.4,104.1,0.1,0.1,-1.3,-1.2,11.8
151,Electrical and electronics drafters,17-3012,Line item,21.5,21.5,0.0,0.0,0.0,-0.1,2.0
152,Mechanical drafters,17-3013,Line item,49.4,45.2,0.0,0.0,-4.2,-8.5,3.9
153,"Drafters, all other",17-3019,Line item,15.9,14.7,0.0,0.0,-1.2,-7.6,1.3
155,Aerospace engineering and operations technologists and technicians,17-3021,Line item,11.3,11.9,0.0,0.0,0.7,5.9,1.2
156,Civil engineering technologists and technicians,17-3022,Line item,66.3,66.1,0.0,0.0,-0.1,-0.2,6.5
157,Electrical and electronic engineering technologists and technicians,17-3023,Line item,105.0,104.6,0.1,0.1,-0.4,-0.4,11.1
158,Electro-mechanical and mechatronics technologists and technicians,17-3024,Line item,12.1,11.6,0.0,0.0,-0.4,-3.6,1.1
159,Environmental engineering technologists and technicians,17-3025,Line item,15.5,16.1,0.0,0.0,0.6,4.0,1.6
160,Industrial engineering technologists and technicians,17-3026,Line item,64.2,66.3,0.0,0.0,2.1,3.3,6.6
161,Mechanical engineering technologists and technicians,17-3027,Line item,41.7,42.5,0.0,0.0,0.9,2.1,4.2
162,Calibration technologists and technicians,17-3028,Line item,8.9,9.2,0.0,0.0,0.3,3.9,0.9
163,"Engineering technologists and technicians, except drafters, all other",17-3029,Line item,77.3,78.9,0.0,0.0,1.6,2.1,7.8
164,Surveying and mapping technicians,17-3031,Line item,59.8,62.0,0.0,0.0,2.2,3.6,7.8
168,Animal scientists,19-1011,Line item,3.7,4.2,0.0,0.0,0.4,11.8,0.4
169,Food scientists and technologists,19-1012,Line item,14.4,15.3,0.0,0.0,0.8,5.7,1.5
170,Soil and plant scientists,19-1013,Line item,19.1,20.8,0.0,0.0,1.7,9.1,2.1
172,Biochemists and biophysicists,19-1021,Line item,37.5,43.2,0.0,0.0,5.7,15.3,4.0
173,Microbiologists,19-1022,Line item,20.8,22.6,0.0,0.0,1.9,9.0,2.0
174,Zoologists and wildlife biologists,19-1023,Line item,17.1,17.2,0.0,0.0,0.1,0.7,1.5
175,"Biological scientists, all other",19-1029,Line item,50.6,52.5,0.0,0.0,1.9,3.8,4.6
177,Conservation scientists,19-1031,Line item,24.6,25.3,0.0,0.0,0.7,3.0,2.3
178,Foresters,19-1032,Line item,15.0,16.1,0.0,0.0,1.1,7.0,1.5
180,Epidemiologists,19-1041,Line item,8.6,10.9,0.0,0.0,2.2,25.8,0.8
181,"Medical scientists, except epidemiologists",19-1042,Line item,119.2,140.0,0.1,0.1,20.8,17.4,10.0
182,"Life scientists, all other",19-1099,Line item,7.5,8.0,0.0,0.0,0.5,6.6,0.5
185,Astronomers,19-2011,Line item,2.2,2.4,0.0,0.0,0.1,5.6,0.2
186,Physicists,19-2012,Line item,23.0,24.8,0.0,0.0,1.9,8.2,1.9
187,Atmospheric and space scientists,19-2021,Line item,9.1,9.4,0.0,0.0,0.3,3.6,0.7
189,Chemists,19-2031,Line item,83.6,88.9,0.1,0.1,5.3,6.3,7.6
190,Materials scientists,19-2032,Line item,7.0,7.4,0.0,0.0,0.4,6.0,0.6
192,"Environmental scientists and specialists, including health",19-2041,Line item,80.0,83.8,0.1,0.1,3.8,4.7,7.8
193,"Geoscientists, except hydrologists and geographers",19-2042,Line item,24.9,26.2,0.0,0.0,1.2,5.0,2.4
194,Hydrologists,19-2043,Line item,6.8,6.7,0.0,0.0,0.0,-0.4,0.6
195,"Physical scientists, all other",19-2099,Line item,28.5,28.6,0.0,0.0,0.1,0.4,2.2
197,Economists,19-3011,Line item,16.9,17.8,0.0,0.0,1.0,5.7,1.4
198,Survey researchers,19-3022,Line item,10.4,11.0,0.0,0.0,0.7,6.3,1.0
200,Industrial-organizational psychologists,19-3032,Line item,2.9,3.0,0.0,0.0,0.1,3.8,0.2
201,Clinical and counseling psychologists,19-3033,Line item,65.4,71.9,0.0,0.0,6.5,9.9,5.1
202,School psychologists,19-3034,Line item,57.9,61.1,0.0,0.0,3.2,5.5,4.8
203,"Psychologists, all other",19-3039,Line item,55.4,56.9,0.0,0.0,1.5,2.8,4.0
204,Sociologists,19-3041,Line item,3.0,3.1,0.0,0.0,0.2,5.4,0.3
205,Urban and regional planners,19-3051,Line item,41.9,43.5,0.0,0.0,1.6,3.8,3.8
207,Anthropologists and archeologists,19-3091,Line item,7.5,7.9,0.0,0.0,0.5,6.1,0.8
208,Geographers,19-3092,Line item,1.6,1.6,0.0,0.0,0.0,-0.2,0.1
209,Historians,19-3093,Line item,3.3,3.4,0.0,0.0,0.1,4.5,0.3
210,Political scientists,19-3094,Line item,6.3,6.7,0.0,0.0,0.4,6.2,0.6
211,"Social scientists and related workers, all other",19-3099,Line item,39.8,40.4,0.0,0.0,0.6,1.6,3.7
214,Agricultural technicians,19-4012,Line item,16.4,18.0,0.0,0.0,1.6,9.7,2.6
215,Food science technicians,19-4013,Line item,15.2,16.3,0.0,0.0,1.2,7.6,2.3
216,Biological technicians,19-4021,Line item,84.3,92.0,0.1,0.1,7.7,9.1,12.2
217,Chemical technicians,19-4031,Line item,60.4,63.1,0.0,0.0,2.7,4.5,7.8
219,"Environmental science and protection technicians, including health",19-4042,Line item,35.5,37.6,0.0,0.0,2.1,5.9,4.0
220,"Geological technicians, except hydrologic technicians",19-4043,Line item,9.2,9.7,0.0,0.0,0.5,5.2,1.0
221,Hydrologic technicians,19-4044,Line item,3.8,3.8,0.0,0.0,0.0,0.9,0.4
222,Nuclear technicians,19-4051,Line item,5.4,4.5,0.0,0.0,-0.9,-16.6,0.4
223,Social science research assistants,19-4061,Line item,35.2,39.2,0.0,0.0,4.0,11.3,5.0
224,Forest and conservation technicians,19-4071,Line item,32.7,32.1,0.0,0.0,-0.6,-2.0,3.9
226,Forensic science technicians,19-4092,Line item,17.6,19.6,0.0,0.0,2.0,11.4,2.5
227,"Life, physical, and social science technicians, all other",19-4099,Line item,72.7,77.5,0.0,0.0,4.8,6.6,9.7
229,Occupational health and safety specialists,19-5011,Line item,109.9,114.7,0.1,0.1,4.9,4.5,12.0
230,Occupational health and safety technicians,19-5012,Line item,22.5,23.9,0.0,0.0,1.4,6.1,2.5
234,"Educational, guidance, and career counselors and advisors",21-1012,Line item,336.0,368.4,0.2,0.2,32.4,9.6,32.0
235,Marriage and family therapists,21-1013,Line item,65.3,74.3,0.0,0.0,9.1,13.9,6.4
236,Rehabilitation counselors,21-1015,Line item,93.2,103.0,0.1,0.1,9.8,10.5,9.9
237,"Substance abuse, behavioral disorder, and mental health counselors",21-1018,Line item,351.0,428.5,0.2,0.3,77.5,22.1,43.6
238,"Counselors, all other",21-1019,Line item,70.3,77.1,0.0,0.0,6.8,9.6,8.1
240,"Child, family, and school social workers",21-1021,Line item,349.8,378.9,0.2,0.2,29.1,8.3,36.6
241,Healthcare social workers,21-1022,Line item,179.5,199.3,0.1,0.1,19.9,11.1,19.7
242,Mental health and substance abuse social workers,21-1023,Line item,119.8,133.2,0.1,0.1,13.3,11.1,12.7
243,"Social workers, all other",21-1029,Line item,59.0,60.7,0.0,0.0,1.7,2.9,5.7
245,Health education specialists,21-1091,Line item,59.6,64.2,0.0,0.0,4.5,7.6,7.1
246,Probation officers and correctional treatment specialists,21-1092,Line item,94.5,94.6,0.1,0.1,0.1,0.1,8.0
247,Social and human service assistants,21-1093,Line item,420.6,472.9,0.3,0.3,52.4,12.5,55.9
248,Community health workers,21-1094,Line item,67.0,77.7,0.0,0.0,10.6,15.9,8.8
249,"Community and social service specialists, all other",21-1099,Line item,97.6,105.9,0.1,0.1,8.3,8.5,11.8
251,Clergy,21-2011,Line item,245.4,255.8,0.2,0.2,10.5,4.3,24.4
252,"Directors, religious activities and education",21-2021,Line item,160.8,166.6,0.1,0.1,5.8,3.6,17.7
253,"Religious workers, all other",21-2099,Line item,73.7,76.6,0.0,0.0,2.8,3.8,10.0
257,Lawyers,23-1011,Line item,833.1,913.3,0.5,0.5,80.2,9.6,48.7
258,Judicial law clerks,23-1012,Line item,16.2,16.2,0.0,0.0,-0.1,-0.5,1.1
260,"Administrative law judges, adjudicators, and hearing officers",23-1021,Line item,14.5,14.1,0.0,0.0,-0.4,-2.8,0.6
261,"Arbitrators, mediators, and conciliators",23-1022,Line item,8.9,9.5,0.0,0.0,0.6,6.2,0.5
262,"Judges, magistrate judges, and magistrates",23-1023,Line item,28.5,28.4,0.0,0.0,-0.2,-0.6,1.3
264,Paralegals and legal assistants,23-2011,Line item,352.8,402.7,0.2,0.2,49.9,14.1,45.8
266,"Title examiners, abstractors, and searchers",23-2093,Line item,61.2,62.4,0.0,0.0,1.2,1.9,6.0
267,"Legal support workers, all other",23-2099,Line item,52.7,52.5,0.0,0.0,-0.2,-0.4,5.9
270,"Business teachers, postsecondary",25-1011,Line item,103.4,109.8,0.1,0.1,6.4,6.2,9.5
272,"Computer science teachers, postsecondary",25-1021,Line item,47.8,51.2,0.0,0.0,3.4,7.2,4.5
273,"Mathematical science teachers, postsecondary",25-1022,Line item,53.8,57.1,0.0,0.0,3.2,6.0,4.9
275,"Architecture teachers, postsecondary",25-1031,Line item,7.8,8.4,0.0,0.0,0.6,7.8,0.7
276,"Engineering teachers, postsecondary",25-1032,Line item,45.8,51.8,0.0,0.0,6.1,13.3,4.7
278,"Agricultural sciences teachers, postsecondary",25-1041,Line item,10.9,11.7,0.0,0.0,0.8,7.3,1.0
279,"Biological science teachers, postsecondary",25-1042,Line item,60.2,67.7,0.0,0.0,7.5,12.4,6.1
280,"Forestry and conservation science teachers, postsecondary",25-1043,Line item,1.5,1.6,0.0,0.0,0.1,8.3,0.1
282,"Atmospheric, earth, marine, and space sciences teachers, postsecondary",25-1051,Line item,12.7,13.7,0.0,0.0,0.9,7.2,1.2
283,"Chemistry teachers, postsecondary",25-1052,Line item,25.8,27.8,0.0,0.0,2.0,7.7,2.4
284,"Environmental science teachers, postsecondary",25-1053,Line item,7.1,7.6,0.0,0.0,0.5,7.7,0.7
285,"Physics teachers, postsecondary",25-1054,Line item,16.0,17.3,0.0,0.0,1.3,7.9,1.5
287,"Anthropology and archeology teachers, postsecondary",25-1061,Line item,6.4,6.9,0.0,0.0,0.5,8.3,0.6
288,"Area, ethnic, and cultural studies teachers, postsecondary",25-1062,Line item,11.7,12.7,0.0,0.0,1.0,8.5,1.1
289,"Economics teachers, postsecondary",25-1063,Line item,15.3,16.6,0.0,0.0,1.3,8.4,1.5
290,"Geography teachers, postsecondary",25-1064,Line item,4.3,4.7,0.0,0.0,0.3,7.6,0.4
291,"Political science teachers, postsecondary",25-1065,Line item,18.2,19.7,0.0,0.0,1.5,8.4,1.7
292,"Psychology teachers, postsecondary",25-1066,Line item,46.4,50.8,0.0,0.0,4.5,9.6,4.5
293,"Sociology teachers, postsecondary",25-1067,Line item,16.0,17.2,0.0,0.0,1.2,7.6,1.5
294,"Social sciences teachers, postsecondary, all other",25-1069,Line item,19.4,20.5,0.0,0.0,1.1,5.5,1.8
296,"Health specialties teachers, postsecondary",25-1071,Line item,246.7,306.1,0.2,0.2,59.4,24.1,28.9
297,"Nursing instructors and teachers, postsecondary",25-1072,Line item,87.0,105.7,0.1,0.1,18.7,21.5,9.9
299,"Education teachers, postsecondary",25-1081,Line item,76.7,83.2,0.0,0.0,6.5,8.5,7.3
300,"Library science teachers, postsecondary",25-1082,Line item,5.5,5.9,0.0,0.0,0.4,7.6,0.5
302,"Criminal justice and law enforcement teachers, postsecondary",25-1111,Line item,16.5,18.2,0.0,0.0,1.6,9.8,1.6
303,"Law teachers, postsecondary",25-1112,Line item,19.1,20.8,0.0,0.0,1.7,8.9,1.8
304,"Social work teachers, postsecondary",25-1113,Line item,16.1,17.5,0.0,0.0,1.4,8.9,1.5
306,"Art, drama, and music teachers, postsecondary",25-1121,Line item,121.8,132.5,0.1,0.1,10.7,8.8,11.6
307,"Communications teachers, postsecondary",25-1122,Line item,34.4,36.9,0.0,0.0,2.5,7.3,3.2
308,"English language and literature teachers, postsecondary",25-1123,Line item,72.4,76.9,0.0,0.0,4.6,6.3,6.7
309,"Foreign language and literature teachers, postsecondary",25-1124,Line item,25.0,27.0,0.0,0.0,2.0,7.8,2.4
310,"History teachers, postsecondary",25-1125,Line item,23.7,25.4,0.0,0.0,1.7,7.4,2.2
311,"Philosophy and religion teachers, postsecondary",25-1126,Line item,28.2,30.6,0.0,0.0,2.4,8.6,2.7
313,"Family and consumer sciences teachers, postsecondary",25-1192,Line item,3.4,3.6,0.0,0.0,0.2,6.6,0.3
314,"Recreation and fitness studies teachers, postsecondary",25-1193,Line item,17.1,18.4,0.0,0.0,1.2,7.1,1.6
315,"Career/technical education teachers, postsecondary",25-1194,Line item,118.8,120.9,0.1,0.1,2.1,1.8,10.2
316,"Postsecondary teachers, all other",25-1199,Line item,253.8,271.8,0.2,0.2,18.0,7.1,23.6
319,"Preschool teachers, except special education",25-2011,Line item,483.1,556.0,0.3,0.3,72.9,15.1,63.1
320,"Kindergarten teachers, except special education",25-2012,Line item,124.8,130.1,0.1,0.1,5.3,4.3,14.2
322,"Elementary school teachers, except special education",25-2021,Line item,1362.3,1417.1,0.9,0.9,54.9,4.0,106.1
323,"Middle school teachers, except special and career/technical education",25-2022,Line item,606.5,631.5,0.4,0.4,25.0,4.1,47.3
324,"Career/technical education teachers, middle school",25-2023,Line item,11.9,12.3,0.0,0.0,0.4,3.4,0.9
326,"Secondary school teachers, except special and career/technical education",25-2031,Line item,1058.3,1107.0,0.7,0.7,48.7,4.6,77.9
327,"Career/technical education teachers, secondary school",25-2032,Line item,84.4,87.2,0.1,0.1,2.8,3.3,6.1
329,"Special education teachers, preschool",25-2051,Line item,22.0,23.9,0.0,0.0,1.8,8.3,1.9
330,"Special education teachers, kindergarten and elementary school",25-2052,Line item,188.2,195.3,0.1,0.1,7.2,3.8,14.7
331,"Special education teachers, middle school",25-2057,Line item,79.4,82.2,0.1,0.0,2.8,3.5,6.2
332,"Special education teachers, secondary school",25-2058,Line item,147.2,153.4,0.1,0.1,6.2,4.2,11.6
333,"Special education teachers, all other",25-2059,Line item,39.5,42.2,0.0,0.0,2.7,6.8,3.2
335,"Adult basic education, adult secondary education, and english as a second language instructors",25-3011,Line item,44.9,42.1,0.0,0.0,-2.8,-6.2,4.7
336,Self-enrichment teachers,25-3021,Line item,347.1,408.3,0.2,0.2,61.3,17.6,49.0
337,"Substitute teachers, short-term",25-3031,Line item,400.4,433.2,0.3,0.3,32.8,8.2,50.6
338,Tutors,25-3041,Line item,203.4,232.9,0.1,0.1,29.5,14.5,35.0
339,"Teachers and instructors, all other",25-3099,Line item,211.6,227.8,0.1,0.1,16.2,7.6,26.6
342,Archivists,25-4011,Line item,8.0,8.7,0.0,0.0,0.7,8.9,1.1
343,Curators,25-4012,Line item,12.9,14.7,0.0,0.0,1.9,14.4,1.8
344,Museum technicians and conservators,25-4013,Line item,12.7,14.3,0.0,0.0,1.6,12.7,1.8
345,Librarians and media collections specialists,25-4022,Line item,138.4,146.4,0.1,0.1,8.0,5.8,14.9
346,Library technicians,25-4031,Line item,78.2,74.9,0.0,0.0,-3.3,-4.2,10.7
348,Farm and home management educators,25-9021,Line item,13.1,13.2,0.0,0.0,0.1,0.5,1.2
349,Instructional coordinators,25-9031,Line item,205.7,220.8,0.1,0.1,15.0,7.3,20.9
351,"Teaching assistants, postsecondary",25-9044,Line item,155.8,168.3,0.1,0.1,12.4,8.0,20.1
352,"Teaching assistants, except postsecondary",25-9045,Line item,1235.1,1297.2,0.8,0.8,62.1,5.0,153.7
353,"Educational instruction and library workers, all other",25-9099,Line item,179.7,192.5,0.1,0.1,12.8,7.1,18.2
357,Art directors,27-1011,Line item,121.5,126.2,0.1,0.1,4.7,3.8,13.4
358,Craft artists,27-1012,Line item,10.7,11.2,0.0,0.0,0.5,5.1,1.2
359,"Fine artists, including painters, sculptors, and illustrators",27-1013,Line item,27.1,28.8,0.0,0.0,1.7,6.4,3.1
360,Special effects artists and animators,27-1014,Line item,58.9,62.1,0.0,0.0,3.2,5.4,6.7
361,"Artists and related workers, all other",27-1019,Line item,14.5,15.2,0.0,0.0,0.7,4.5,1.6
363,Commercial and industrial designers,27-1021,Line item,29.3,30.3,0.0,0.0,0.9,3.2,2.7
